ad_id,page_id,page_name,promotional_text,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,created_time,updated_time,ad_creative_bodies,status,effective_status,ad_active_status,is_active,body,title,caption,description,link_url,image_name,image_link,image_description,impressions_min,impressions_max,spend_min,spend_max,ad_url,publisher_platforms,languages
1782431055894006,179450065439629,Chewy,"Got a picky eater in the family? Mix up your pup’s mealtime routine with a boost of freeze-dried raw meat, fruits, and veggies. The benefits of raw nutrition with flavors that dogs crave.",,,,,,"['Got a picky eater in the family? Mix up your pup’s mealtime routine with a boost of freeze-dried raw meat, fruits, and veggies. The benefits of raw nutrition with flavors that dogs crave.']",,,,,,,,,,Kickstart Your Kibble,,,0,0,0,0,https://www.facebook.com/ads/library/?id=1782431055894006,"facebook, instagram, audience_network, messenger",en
1591522364782869,179450065439629,Chewy,Don't wait 'til it's too late. Stock up now and save 35% on your first Autoship order of pet faves.,,,,,,"[""Don't wait 'til it's too late. Stock up now and save 35% on your first Autoship order of pet faves."", ""Don't wait 'til it's too late. Stock up now and save 35% on your first Autoship order of pet faves."", ""Don't wait 'til it's too late. Stock up now and save 35% on your first Autoship order of pet faves."", ""Don't wait 'til it's too late. Stock up now and save 35% on your first Autoship order of pet faves."", ""Don't wait 'til it's too late. Stock up now and save 35% on your first Autoship order of pet faves."", ""Don't wait 'til it's too late. Stock up now and save 35% on your first Autoship order of pet faves.""]",,,,,,,,,,"K&H Pet Products EZ Mount Double Stack Kitty Sill Cat Window Perch, Gray",,,0,0,0,0,https://www.facebook.com/ads/library/?id=1591522364782869,"facebook, instagram, audience_network, messenger",en
2609057116148750,179450065439629,Chewy,"Hurry! Your pet's favorite toys, treats & more are still here with fast, free shipping. Because pets love presents, too!",,,,,,"[""Hurry! Your pet's favorite toys, treats & more are still here with fast, free shipping. Because pets love presents, too!"", ""Hurry! Your pet's favorite toys, treats & more are still here with fast, free shipping. Because pets love presents, too!"", ""Hurry! Your pet's favorite toys, treats & more are still here with fast, free shipping. Because pets love presents, too!"", ""Hurry! Your pet's favorite toys, treats & more are still here with fast, free shipping. Because pets love presents, too!"", ""Hurry! Your pet's favorite toys, treats & more are still here with fast, free shipping. Because pets love presents, too!"", ""Hurry! Your pet's favorite toys, treats & more are still here with fast, free shipping. Because pets love presents, too!""]",,,,,,,,,,"Pet Center Lamb Crunchys Dog Treats, 16-oz bag",,,0,0,0,0,https://www.facebook.com/ads/library/?id=2609057116148750,"facebook, instagram, audience_network, messenger",en
556367590208501,179450065439629,Chewy,Keep your pets calm this holiday season and shop Chewy for a wide assortment of calming aids.,,,,,,"['Keep your pets calm this holiday season and shop Chewy for a wide assortment of calming aids.', 'Keep your pets calm this holiday season and shop Chewy for a wide assortment of calming aids.', 'Keep your pets calm this holiday season and shop Chewy for a wide assortment of calming aids.']",,,,,,,,,,"When they're less stressed, so are you.",,,0,0,0,0,https://www.facebook.com/ads/library/?id=556367590208501,"facebook, instagram, audience_network",en
1208964510406763,179450065439629,Chewy,"Automatically get 50% OFF your 1st Autoship when you purchase GREENIES™ Supplements and help support your dog's flexibility and mobility, skin and coat health, calmness and relaxation or digestive health. Exclusions apply.",,,,,,"[""Automatically get 50% OFF your 1st Autoship when you purchase GREENIES™ Supplements and help support your dog's flexibility and mobility, skin and coat health, calmness and relaxation or digestive health. Exclusions apply.""]",,,,,,,,,,WELL-BEING MADE WONDERFUL,,,0,0,0,0,https://www.facebook.com/ads/library/?id=1208964510406763,"facebook, instagram, audience_network, messenger",en
450025047571160,179450065439629,Chewy,Keep your pets calm this holiday season and shop Chewy for a wide assortment of calming aids.,,,,,,"['Keep your pets calm this holiday season and shop Chewy for a wide assortment of calming aids.', 'Keep your pets calm this holiday season and shop Chewy for a wide assortment of calming aids.', 'Keep your pets calm this holiday season and shop Chewy for a wide assortment of calming aids.']",,,,,,,,,,"When they're less stressed, so are you.",,,0,0,0,0,https://www.facebook.com/ads/library/?id=450025047571160,"facebook, instagram, audience_network",en
556286520422023,179450065439629,Chewy,Don't let your pet get anxious. Find pet-calming products at Chewy Pharmacy.,,,,,,"[""Don't let your pet get anxious. Find pet-calming products at Chewy Pharmacy."", ""Don't let your pet get anxious. Find pet-calming products at Chewy Pharmacy."", ""Don't let your pet get anxious. Find pet-calming products at Chewy Pharmacy.""]",,,,,,,,,,Keep your pet calm this Holiday season.,,,0,0,0,0,https://www.facebook.com/ads/library/?id=556286520422023,"facebook, instagram, audience_network",en
1104558211125302,179450065439629,Chewy,Chewy Pharmacy makes it easy to order pet prescriptions by contacting your vet for approval and delivering to your door.,,,,,,"['Chewy Pharmacy makes it easy to order pet prescriptions by contacting your vet for approval and delivering to your door.', 'Chewy Pharmacy makes it easy to order pet prescriptions by contacting your vet for approval and delivering to your door.', 'Chewy Pharmacy makes it easy to order pet prescriptions by contacting your vet for approval and delivering to your door.']",,,,,,,,,,Save 20% on your first Rx order,,,0,0,0,0,https://www.facebook.com/ads/library/?id=1104558211125302,"facebook, instagram, audience_network, messenger",en
1250106282906956,179450065439629,Chewy,Use code LYSSIE10 for 10% off all Frisco products and you too can be the center of your cat’s attention!,,,,,,['Use code LYSSIE10 for 10% off all Frisco products and you too can be the center of your cat’s attention!'],,,,,,,,,,Shop Juni’s favorite Chewy products!,,,0,0,0,0,https://www.facebook.com/ads/library/?id=1250106282906956,"facebook, instagram, messenger",en
1072074741137881,179450065439629,Chewy,Shop these products and more with code OLIVER10 to save 10% on all Frisco products.,,,,,,['Shop these products and more with code OLIVER10 to save 10% on all Frisco products.'],,,,,,,,,,The only investment I can justify!,,,0,0,0,0,https://www.facebook.com/ads/library/?id=1072074741137881,"facebook, instagram, messenger",en
